,Name of movie,Year of relase,Watchtime,theme,Movie Rating,Votes,Gross collection,Director,Star
51,回到未來,1985,116,"
Adventure,Comedy,Sci-Fi            ",8.5,"1,127,530",$210.61M,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
52,狂沙十萬里,1968,165,"
Western            ",8.5,"317,287",$5.32M,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
53,驚魂記,1960,109,"
Horror,Mystery,Thriller            ",8.5,"638,626",$32.00M,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
54,後窗,1954,112,"
Mystery,Thriller            ",8.5,"470,520",$36.76M,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
55,北非諜影,1942,102,"
Drama,Romance,War            ",8.5,"548,081",$1.02M,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']"
56,摩登時代,1936,87,"
Comedy,Drama,Family            ",8.5,"231,272",$0.16M,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']"
57,城市之光,1931,87,"
Comedy,Drama,Romance            ",8.5,"177,823",$0.02M,Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']"
58,漢密爾頓,2020,160,"
Biography,Drama,History            ",8.4,"77,949",*****,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']"
59,我想有個家,2018,126,"
Drama            ",8.4,"78,698",$1.66M,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']"
60,小丑,2019,122,"
Crime,Drama,Thriller            ",8.4,"1,107,053",$335.45M,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
61,Ratsasan,2018,170,"
Action,Crime,Drama            ",8.4,"36,687",*****,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']"
62,艾拉，戰爭下的女兒,2017,125,"
Biography,Drama,History            ",8.4,"37,564",*****,"Directors:Can Ulkay, Halenur Uzunoglu","['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
63,你的名字,2016,106,"
Animation,Drama,Fantasy            ",8.4,"232,644",$5.02M,Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']"
64,我和我的冠軍女兒,2016,161,"
Action,Biography,Drama            ",8.4,"174,832",$12.39M,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
65,蜘蛛人：新宇宙,2018,117,"
Animation,Action,Adventure            ",8.4,"443,292",$190.24M,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']"
